GNR 2002-070 , 1 , 0.13728240284381377 , 0.1362547688912199 , 0.130499497574176 , 0.13037067334270902 , 0.007710865150774127 , 0.006688144988781564
GNR 2002-070 , 2 , 0.14317059985565905 , 0.1414483942141418 , 0.1263063235900539 , 0.12624380687263026 , 0.01908820431328284 , 0.017208349116797472
GNR 2002-070 , 3 , 0.20916581513192767 , 0.20906009339481713 , 0.2080830086711939 , 0.20797858195717123 , 0.001341013217479703 , 0.001339247468577276
GNR 2002-070 , 4 , 0.20759089567013467 , 0.20758245441428813 , 0.20692739444134234 , 0.20691894745567363 , 0.0008206186497118351 , 0.0008206177240723811
GNR 2002-070 , 6 , 0.15071998716483526 , 0.14825539702516022 , 0.13301116694034165 , 0.13288491292168603 , 0.02018640652697279 , 0.017518320913968766
GNR 2002-071 , 1 , 0.15948411788481187 , 0.15596891788387623 , 0.12733552996753295 , 0.12734063007804253 , 0.03643083295319527 , 0.0324411026331245
GNR 2002-071 , 2 , 0.15158949063387428 , 0.1487636102756098 , 0.13124685411291603 , 0.1311523817924649 , 0.02314587890767883 , 0.020035738095320665
GNR 2002-072 , 1 , 0.15602420279050566 , 0.15226157429454978 , 0.12912073653389677 , 0.1290480122709743 , 0.030543445190090446 , 0.026351686719053857
GNR 2002-072 , 2 , 0.15334666647215944 , 0.15012507679140752 , 0.13013627620178658 , 0.1300504557211717 , 0.02637833881670404 , 0.022812064828350187
GNR 2002-075 , 1 , 0.14723239549671252 , 0.14451908693243598 , 0.12645020734393364 , 0.12636601400588032 , 0.02352688477600884 , 0.02054840319667206
GNR 2002-075 , 2 , 0.14151738424609772 , 0.1406713905726098 , 0.1331893107094697 , 0.1330475233110121 , 0.009494454944787845 , 0.00869027949354273
GNR 2002-075 , 4 , 0.14721923645016477 , 0.1463036402725334 , 0.13771662895446413 , 0.13755312496637329 , 0.010885723735291286 , 0.010022371170051336
GNR 2002-077 , 1 , 0.142181146389198 , 0.14027642865829215 , 0.12717958564643983 , 0.12707581706993176 , 0.016995244923770025 , 0.014953160348673888
GNR 2002-077 , 2 , 0.175448871952404 , 0.17533733475899227 , 0.17479623216098328 , 0.17468408330069907 , 0.000778326137207408 , 0.0007789585588588999
GNR 2002-078 , 1 , 0.1414390154615377 , 0.1397122826178122 , 0.12690681458408337 , 0.12679734048215208 , 0.016458742918190605 , 0.014625259862524609
GNR 2002-078 , 2 , 0.14439134078039795 , 0.14335490256771122 , 0.13599975126866504 , 0.13586057069738466 , 0.009595405744491137 , 0.008568116491475708
GNR 2002-078 , 3 , 0.13709920857468483 , 0.13705258869903736 , 0.13638468804291715 , 0.13634096871690427 , 0.0008173155105413166 , 0.0008139598829676187
GNR 2002-080 , 1 , 0.1296075238020764 , 0.1291103151061025 , 0.12452490062178301 , 0.12441039413737798 , 0.005741744469695109 , 0.00530876451225315
GNR 2002-080 , 2 , 0.14322639604503262 , 0.14139025415781825 , 0.12806358398459627 , 0.12794956044616745 , 0.017193919594657103 , 0.015239131323205535
GNR 2002-087 , 1 , 0.14844011312568095 , 0.14794399184232432 , 0.14244626197403976 , 0.14224160195994395 , 0.006900821637532362 , 0.006563807909258812
GNR 2002-088 , 1 , 0.1491310854548501 , 0.14771646804580718 , 0.13820272327605088 , 0.13803348687052674 , 0.012525592879698677 , 0.011096103866342633
GNR 2002-088 , 3 , 0.14841656745126197 , 0.1473252467106405 , 0.1391783396295594 , 0.1390024913050767 , 0.010599324713818303 , 0.009547126130020955
GNR 2002-088 , 4 , 0.16441592430307772 , 0.1630073006164786 , 0.14630862070730166 , 0.14619252696527862 , 0.020935516546340516 , 0.01943849921139884
GNR 2002-089 , 1 , 0.1491310854548501 , 0.14771646804580718 , 0.13820272327605088 , 0.13803348687052674 , 0.012525592879698677 , 0.011096103866342633
GNR 2002-092 , 1 , 0.14822814472229373 , 0.14676646447682085 , 0.13621094844659598 , 0.13607063334787095 , 0.01374452882827848 , 0.012231305392750524
GNR 2002-092 , 2 , 0.13348821171293235 , 0.13257866795743356 , 0.1262560357856385 , 0.1260696689481351 , 0.008184998894375406 , 0.00736507307969847
GNR 2002-092 , 3 , 0.15690873085385681 , 0.1563512812928316 , 0.15184895077167748 , 0.1516005193244372 , 0.0058845613167529676 , 0.005523674866994233
GNR 2002-093 , 1 , 0.1332435889248338 , 0.13273952762065788 , 0.12832212350176575 , 0.12820586307760573 , 0.005581885170809375 , 0.005141403915793208
GNR 2003-002 , 1 , 0.16159279762833623 , 0.15786089105875334 , 0.1365769841158151 , 0.13646937760932276 , 0.028625112523671725 , 0.02447451244984311
GNR 2003-002 , 2 , 0.18537718669988779 , 0.18261966364744509 , 0.166417460753694 , 0.16627130558515668 , 0.022406011480873622 , 0.019316446887648442
GNR 2003-003 , 1 , 0.1615880502678575 , 0.15785646274630305 , 0.136574401559313 , 0.13646680449640403 , 0.028622556385275777 , 0.024472322652241196
GNR 2003-003 , 2 , 0.14320804621021233 , 0.143104394880597 , 0.14046020256920067 , 0.14036236207775998 , 0.0031568662196995723 , 0.003149861588041758
GNR 2003-004 , 1 , 0.16225397557540766 , 0.16160155794288422 , 0.1540162658682135 , 0.15383286559339282 , 0.00960324984487837 , 0.009054652678085029
GNR 2003-004 , 2 , 0.16159279762833623 , 0.15786089105875334 , 0.1365769841158151 , 0.13646937760932276 , 0.028625112523671725 , 0.02447451244984311
GNR 2003-006 , 1 , 0.15999049506735608 , 0.15652401378019498 , 0.13651992761659193 , 0.13640852491409106 , 0.026855014922103626 , 0.023012902980384498
